"Customer Name","Drink","Qty","Price","Branch","Payment Type","Card Number","Date/Time"
"Lisa Barton","Cappuccino","","£7.05","York","Cash","","07/07/2025"
"Megan Cummings","Latte","1","£2.15","York","Card","30113436572254","26/06/2025"
"Tracy Adkins","Cappuccino","3","£7.05","Brighton","","","02/07/2025"
"Megan Garza","Flavoured Iced Latte - Hazelnut","2","£5.5","York","Cash","","22/06/2025"
"Taylor Miller","Flavoured Iced Latte - Caramel","3","£8.25","Durham","Card","38693767152349","23/06/2025"
"Tina Little","Cappuccino","1","£2.35","York","Cash","","17/06/2025"
"Benjamin Cortez","Latte","3","£6.45","Durham","Card","345744675011669","20/06/2025"
"Jonathan Smith","Cappuccino","3","£7.05","Brighton","Card","3583821980903965","29/06/2025"
"Mark Price","Espresso","3","£5.85","Durham","Card","VISA 16 digit | Jonathon Gutierrez | 4332862312126778 12/27 | CVC: 977 | ","08/07/2025"
"Rebecca Malone","Latte","3","£6.45","Epsom","Cash","","23/06/2025"
"Leslie Haynes","Mocha","3","","York","Card","5137335565715658","15/06/2025"
"Jennifer Howell","Flavoured Iced Latte - Hazelnut","3","£8.25","Durham","Cash","","08/07/2025"
"Spencer Donaldson","Flavoured Iced Latte - Caramel","2","£5.5","Chesterfield","Card","370301766950871","22/06/2025"
"Melinda Jones","Latte","2","£4.3","York","Card","36674241042928",""
"Nicholas Miller","Espresso","2","£3.9","Brighton","Card","VISA 19 digit | Miranda Rodriguez | 4065756061040940584 09/29 | CVC: 558 | ","21/06/2025"
"Samantha Moore","Large Latte","1","","Durham","Card","582090075224","06/07/2025"
"Donna Richardson","Flavoured Iced Latte - Caramel","3","£8.25","Chesterfield","Cash","","17/06/2025"
"Carlos Mcdonald","Latte","1","£2.15","York","Cash","","21/06/2025"
"Tracy Boyd","Large Latte","1","£2.45","Durham","Card","VISA 19 digit | George Jefferson | 4123105041372274807 03/29 | CVC: 125 | ","10/07/2025"
"Charles Rogers","Mocha","2","£5.5","York","Cash","","10/07/2025"
"Steven Brown","Flavoured Iced Latte - Caramel","1","£2.75","Chesterfield","Card","3594672824071353","18/06/2025"
"Amanda Lee","Flavoured Iced Latte - Caramel","1","£2.75","York","Card","180023542644889","07/07/2025"
"David Collins","Flavoured Iced Latte - Caramel","1","£2.75","Durham","Card","348470977100227","08/07/2025"
"Stacey Williams","Flavoured Iced Latte - Hazelnut","1","£2.75","York","Cash","","04/07/2025"
"Erin Wood","Flavoured Iced Latte - Hazelnut","1","£2.75","York","Cash","","12/07/2025"
"Kelsey Mckenzie","Cappuccino","2","£4.7","Durham","Card","4706266858783620","06/07/2025"
"Michael Reyes","Cappuccino","1","£2.35","Chesterfield","Card","4832206389726687","10/07/2025"
"Troy Wilson","Flavoured Iced Latte - Hazelnut","2","£5.5","Brighton","Card","4165190029250159833","25/06/2025"
"Jennifer Hudson","Espresso","1","£1.95","York","Cash","","05/07/2025"
"Timothy Jacobs","Flavoured Iced Latte - Hazelnut","3","£8.25","Durham","Cash","","16/06/2025"
"David Jarvis","","3","£5.85","Durham","Cash","","01/07/2025"
"Mary Lowe","Espresso","1","£1.95","Epsom","Card","4251180242549374","24/06/2025"
"","Latte","3","£6.45","York","Card","3598863861933524","15/06/2025"
"Erica Smith","Mocha","2","£5.5","Durham","Card","Maestro | Kenneth Miller | 502069006448 05/33 | CVV: 541 | ","23/06/2025"
"Kimberly Cunningham","Cappuccino","2","£4.7","Brighton","Card","6565464842059125","29/06/2025"
