"Customer Name","Drink","Qty","Price","Branch","Payment Type","Card Number","Date/Time"
"Michelle Steele","Flavoured Iced Latte - Hazelnut","3","£8.25","Epsom","Card","6011688032667715","29/06/2025"
"Stacey Morris","Espresso","1","£1.95","","Cash","","10/07/2025"
"Danielle Butler","","3","£8.25","Chesterfield","Card","4225507477779503","22/06/2025"
"Gerald Webb","Espresso","2","£3.9","Chesterfield","Card","6560936080098332","07/07/2025"
"Jose Hamilton","Flavoured Iced Latte - Caramel","3","£8.25","York","Card","3564933951121221","07/07/2025"
"Mary Daniels","Espresso","1","£1.95","Chesterfield","Card","Diners Club / Carte Blanche | Erin Davis | 30176551753363 04/30 | CVC: 807 | ","21/06/2025"
"Ashley Nelson","Mocha","3","£8.25","Chesterfield","Card","4153568759280434","14/07/2025"
"Christopher Hardy","Espresso","1","£1.95","Chesterfield","Cash","","18/07/2025"
"Peter Burton","Mocha","3","£8.25","Chesterfield","Card","American Express | Madison Carter | 378391710725307 04/31 | CID: 6217 | ","18/07/2025"
"Heather Macias","Espresso","1","£1.95","","Card","4689356884223076673","17/07/2025"
"Andrew Salazar","Espresso","1","£1.95","Chesterfield","Cash","","28/06/2025"
"Katie Bridges","Large Latte","2","£4.9","Chesterfield","Card","4310337895345009233","05/07/2025"
"Jessica Stewart","Flavoured Iced Latte - Caramel","3","£8.25","Chesterfield","Card","060426086280","18/07/2025"
"James Smith","Cappuccino","2","£4.7","Durham","Card","4356159159804357536","12/07/2025"
"Carla Lee","Large Latte","3","£7.35","Durham","Cash","","09/07/2025"
"Bridget Sims","Flavoured Iced Latte - Hazelnut","3","£8.25","Durham","Cash","","22/06/2025"
"Todd Newman","Cappuccino","3","£7.05","York","Card","503874562112","20/07/2025"
"Cody Arroyo","Latte","1","£2.15","Chesterfield","Card","30518905396904","03/07/2025"
"Abigail Crosby","Cappuccino","3","£7.05","York","Cash","","17/07/2025"
"Terry Scott","Mocha","2","£5.5","Brighton","Cash","","13/07/2025"
"","Large Latte","3","£7.35","Durham","Cash","","22/06/2025"
"Gabriella Haynes","Mocha","3","£8.25","Chesterfield","Card","213126373587159","07/07/2025"
"Keith Rogers MD","Flavoured Iced Latte - Hazelnut","3","£8.25","Epsom","Cash","","05/07/2025"
"Lori Fisher","Flavoured Iced Latte - Hazelnut","1","£2.75","Durham","Card","3522087569162027","06/07/2025"
"Vickie Walton","Espresso","3","","Chesterfield","Cash","","02/07/2025"
"Sean Logan","Large Latte","1","£2.45","Chesterfield","Card","Mastercard | Dale Bowers | 2468122306874861 06/33 | CVV: 343 | ","17/07/2025"
"David Austin","Latte","1","£2.15","Brighton","Card","4156093301677689412","06/07/2025"
"Richard Berry","Espresso","2","£3.9","Epsom","Card","VISA 19 digit | Kevin Miller | 4706920242110400903 02/32 | CVC: 989 | ","30/06/2025"
"Diane Simpson","Flavoured Iced Latte - Hazelnut","2","£5.5","Epsom","Card","2294361180456870","06/07/2025"
"Greg Phillips","Mocha","2","£5.5","Epsom","Card","2674675108191230","14/07/2025"
"Maxwell Williams","Latte","1","£2.15","Epsom","Card","347801851233083","25/06/2025"
