"Customer Name","Drink","Qty","Price","Branch","Payment Type","Card Number","Date/Time"
"Maria Smith","Espresso","1","£1.95","Epsom","Card","VISA 13 digit | James Winters | 4422005704038 06/27 | CVC: 190 | ","24/06/2025"
"Katie Garcia","Mocha","1","£2.75","Epsom","Card","4410193386772957","09/07/2025"
"Jaime Wright","Mocha","3","£8.25","Durham","Card","VISA 16 digit | Amber Monroe | 4272323124706085 06/34 | CVC: 559 | ","23/06/2025"
"Colton Blankenship","Flavoured Iced Latte - Caramel","1","£2.75","York","","6564363042756483","23/06/2025"
"Michael Shaw","Cappuccino","3","£7.05","Epsom","Cash","","03/07/2025"
"Alyssa Pierce","Espresso","2","£3.9","York","Card","4597717439690","24/06/2025"
"Christine Watson","Espresso","1","£1.95","Epsom","Cash","","06/07/2025"
"Tara Gallegos","Large Latte","2","£4.9","Chesterfield","Cash","","30/06/2025"
"Manuel Howard","Flavoured Iced Latte - Caramel","2","£5.5","York","Cash","","20/07/2025"
"Danielle Gilbert","Cappuccino","1","£2.35","Chesterfield","Cash","","28/06/2025"
"Tim White","Cappuccino","1","£2.35","Brighton","Card","Diners Club / Carte Blanche | Randy Cunningham | 30170538946117 07/35 | CVC: 215 | ","18/07/2025"
"Penny Cummings","Latte","3","","Chesterfield","Cash","","10/07/2025"
"William Harris","Cappuccino","2","£4.7","York","Cash","","09/07/2025"
"Debbie Joseph","Cappuccino","1","£2.35","Brighton","Card","VISA 19 digit | Mark Lowery | 4251024055897409083 09/29 | CVC: 395 | ","24/06/2025"
"Brandon Huang","Latte","1","£2.15","York","Card","38474886800609","16/07/2025"
"Adam Williams","Large Latte","2","£4.9","","Card","3566543571336568","05/07/2025"
"Pamela Hill","","2","£5.5","York","Cash","","22/06/2025"
"John Lopez","Large Latte","","£2.45","Brighton","Card","4731196582593","23/06/2025"
"Krystal Stewart","Flavoured Iced Latte - Caramel","2","£5.5","Chesterfield","Card","6533831020568748","22/06/2025"
"Jeffrey Taylor","Cappuccino","1","£2.35","Durham","Cash","","21/06/2025"
"Renee Swanson","Flavoured Iced Latte - Caramel","1","£2.75","Chesterfield","Card","213149778004323","11/07/2025"
"Robert Burns","Flavoured Iced Latte - Caramel","2","£5.5","Chesterfield","Card","4780006678638","29/06/2025"
"Mrs. Natalie Greer MD","Flavoured Iced Latte - Hazelnut","2","£5.5","","Card","4835121479014125","29/06/2025"
"Brittany Wright","Mocha","1","£2.75","Durham","Cash","","19/07/2025"
"David Villanueva","Mocha","3","£8.25","Brighton","Card","VISA 19 digit | Kimberly Soto | 4737606487932130719 12/32 | CVC: 673 | ","11/07/2025"
"Robin Landry","Cappuccino","3","£7.05","Brighton","Cash","","15/07/2025"
"Gregory Jacobs","Cappuccino","2","£4.7","Brighton","Card","6545941849107937","17/07/2025"
